year,district,weeks,vol_total,price_total,weather,iceberg_vol,iceberg_price,romaine_vol,romaine_price,green_leaf_vol,green_leaf_price,red_leaf_vol,red_leaf_price,boston_vol,boston_price
2023,Western Arizona,28,28,18,28,27,18,28,17,26,16,26,16,25,16
2023,Imperial Valley,27,27,23,27,26,22,27,23,26,22,26,21,23,0
2023,Santa Maria,42,42,0,42,40,0,38,0,37,0,32,0,20,0
2023,Oxnard,42,41,5,42,24,5,38,5,22,0,21,0,0,0
2023,San Joaquin Valley,11,11,8,11,11,8,11,3,9,0,9,0,8,0
2024,Salinas-Watsonville,42,42,34,42,39,32,42,34,39,34,39,34,35,34
2024,Western Arizona,27,27,9,27,26,9,27,9,26,9,25,9,25,8
2024,Imperial Valley,24,24,15,24,22,14,23,15,22,14,22,14,22,0
2024,Santa Maria,44,44,31,44,41,31,43,31,37,27,32,5,10,0
2024,Oxnard,14,14,0,14,11,0,9,0,6,0,6,0,0,0
2024,San Joaquin Valley,14,14,10,14,14,10,13,3,9,0,9,0,5,0
2025,Salinas-Watsonville,36,36,34,36,35,33,36,34,35,34,35,34,34,34
2025,Western Arizona,26,26,24,26,25,24,26,23,25,23,25,23,25,23
2025,Imperial Valley,23,23,17,23,22,17,23,17,22,14,21,14,21,0
2025,Santa Maria,37,37,34,37,37,33,35,32,33,28,32,26,1,0
2025,Oxnard,14,14,0,14,12,0,7,0,5,0,5,0,1,0
2025,San Joaquin Valley,14,14,9,14,14,9,9,0,8,0,8,0,8,0
2026,Salinas-Watsonville,5,5,3,5,3,2,4,3,4,3,4,3,3,3
2026,Western Arizona,14,14,14,14,14,14,14,14,14,13,14,13,14,13
2026,Imperial Valley,14,14,13,14,14,13,14,13,13,8,13,8,13,0
2026,Santa Maria,5,5,2,5,4,2,5,2,5,2,3,2,0,0
2026,Oxnard,5,5,0,5,4,0,4,0,1,0,1,0,0,0
2026,San Joaquin Valley,4,4,3,4,4,3,4,0,2,0,2,0,3,0
